11.38,19.29,33.03,47.61,59.13,63.1,67.1,68.97,70.52,71.91,71.85,71.87,71.65,71.37
12.36,21.15,36.58,49.57,60.68,64.64,68.71,70.63,72.31,73.77,73.6,73.47,73.25,72.97
14.66,22.45,39.86,53.17,62.82,66.56,70.5,72.3,73.74,75.01,74.82,74.7,74.56,74.27
17.37,28.62,47.07,57.98,65.46,68.66,71.73,73.67,75,76.03,75.43,75.04,74.88,74.52
22.82,36.86,52.23,61.36,67.27,69.53,71.92,73.64,74.69,76.1,75.11,74.28,74.13,73.84
28.68,44.01,56.49,64.66,69.48,71.54,73.3,74.39,75.53,76.48,75.37,74.46,73.94,73.39
44.06,56.5,65.11,70.47,73.58,74.55,75.42,75.83,76.23,76.54,74.93,73.71,72.99,72.3
59.27,68.59,72.25,74.59,76.71,76.8,76.85,76.85,76.8,76.69,74.43,72.97,72.1,71.34
76.99,79.25,79.14,79.13,78.46,78.06,77.75,77.32,76.94,76.51,74.04,72.06,70.99,70.03
81.34,80.44,79.72,79.34,78.7,78.04,77.4,76.89,76.24,75.59,72.67,70.69,69.34,68.19
81.22,80,79.21,78.64,78.16,77.31,76.5,75.86,75.09,74.36,71.55,69.08,67.64,66.34
80.02,78.94,78.18,77.61,76.76,75.88,75.01,74.35,73.56,72.71,69.9,67.46,65.9,64.65
78.65,77.62,77.11,76.26,75.43,74.47,73.63,72.83,71.95,71.13,68.01,65.75,64.15,63.01
76.76,75.76,75.13,74.38,73.52,72.61,71.93,71.02,70.16,69.38,66.38,64.11,62.51,61.53
75.07,73.79,73.2,72.43,71.65,70.78,69.85,69.04,68.43,67.65,64.63,62.39,60.84,60.03
73.42,71.79,71.01,70.38,69.79,68.85,68.03,67.32,66.76,65.98,63.12,60.63,59.05,58.46
65.67,64.74,63.95,63.21,62.37,61.59,60.84,60.28,59.73,59.2,55.68,53.44,52.78,52.31
60.42,59.88,59.16,58.43,57.63,56.99,56.45,55.91,55.42,54.94,51.28,49.81,49.07,48.48
57.49,56.78,55.89,54.86,54.34,53.46,53.41,52.99,52.59,52.18,49.73,48.39,47.65,46.6
55.72,55.47,54.48,52.92,51.79,51.05,50.76,50.4,50.34,50.18,47.75,47.24,46.82,46.16